rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
275,75,Gen-A,Loc-N,46.39,1399,0.75823864
276,76,Gen-A,Loc-N,35.35,1426,0.872942779
277,77,Gen-A,Loc-N,26.7,1449.5,0.997050906
278,78,Gen-A,Loc-N,22,1473.5,1.131333201
279,79,Gen-A,Loc-N,19.07,1497.5,1.276621354
280,80,Gen-A,Loc-N,20.15,1521.5,1.433810399
281,81,Gen-A,Loc-N,23.51,1540.5,1.603854456
282,82,Gen-A,Loc-N,28.32,1562,1.787743643
283,83,Gen-A,Loc-N,33.79,1587,1.986424554
284,84,Gen-A,Loc-N,39.23,1614,2.200553524
285,85,Gen-A,Loc-N,38.14,1641,2.429758
286,86,Gen-A,Loc-N,38.49,1669,2.670468943
287,87,Gen-A,Loc-N,28.45,1696.5,2.909730019
288,88,Gen-A,Loc-N,24.72,1719.5,3.108644454
289,89,Gen-A,Loc-N,26.89,1736.5,3.165842564
290,90,Gen-A,Loc-N,25.65,1752.5,2.880178148
291,91,Gen-A,Loc-N,37.64,1770,2.073243851
292,92,Gen-A,Loc-N,47.99,1794.5,0.978500002
293,93,Gen-A,Loc-N,67.36,1821,0.123505032
294,94,Gen-A,Loc-N,47.62,1847.5,-0.328260155
295,95,Gen-A,Loc-N,51.59,1870,-0.521254157
296,96,Gen-A,Loc-N,49.24,1889,-0.596289638
297,97,Gen-A,Loc-N,42.74,1909.5,-0.624393641
298,98,Gen-A,Loc-N,68.52,1930,-0.63477235
299,99,Gen-A,Loc-N,64.36,1950.5,-0.638585191
300,100,Gen-A,Loc-N,66.44,1971,-0.639983231
301,1,Gen-B,Loc-N,47.16,10.5,-0.744105139
302,2,Gen-B,Loc-N,24.09,18,-0.743586254
303,3,Gen-B,Loc-N,25.03,24.5,-0.743023244
304,4,Gen-B,Loc-N,18.08,35.5,-0.742412358
305,5,Gen-B,Loc-N,11.61,39,-0.741749524
306,6,Gen-B,Loc-N,12.41,39.5,-0.741030324
307,7,Gen-B,Loc-N,22.08,40,-0.740249967
308,8,Gen-B,Loc-N,25.82,40,-0.73940325
309,9,Gen-B,Loc-N,36.49,48,-0.738484531
310,10,Gen-B,Loc-N,49.7,55.5,-0.737487688
311,11,Gen-B,Loc-N,62.33,66,-0.736406076
